station_name,station_lat,station_lon,nearest_river,nearby_pub_count
Portsmouth and Southsea,50.7982014,-1.0906787,Fountain Lake,248
Portsmouth Harbour,50.7967035,-1.1087807,Haslar Lake,242
Ninian Park,51.4765408,-3.2013886,River Ely,200
Cardiff Queen Street,51.4820022,-3.1702926,River Taff,188
Cathays,51.4888964,-3.1789269,River Taff,188
Cardiff Central,51.4755495,-3.1797057,River Taff,184
Waun-gron Park,51.488302,-3.22969,River Ely,182
Grangetown,51.4672525,-3.1895595,River Taff,180
Fairwater,51.4938863,-3.2338039,River Taff,176
Danescourt,51.5004014,-3.2339459,River Taff,174
Hilsea,50.8283898,-1.058643,Broom Channel,174
Llandaf,51.5084483,-3.2287847,River Taff,172
Cardiff Bay,51.4678964,-3.1670664,River Taff,166
Newport,51.5887675,-3.000425,River Usk,142
Cogan,51.4458142,-3.1893329,River Ely,132
Pye Corner,51.5813041,-3.0412227,Ebbw River,116
Rhiwbina,51.521084,-3.2144829,River Taff,116
Whitchurch,51.5208061,-3.2221576,River Taff,108
Dingle Road,51.4399933,-3.1799893,River Ely,100
Coryton,51.5204441,-3.2314774,River Taff,92
Reading,51.4592197,-0.9723182,River Thames,90
Reading West,51.4546483,-0.9907169,River Kennet,88
Swansea,51.6256789,-3.9403729,River Tawe,82
Reading Green Park,51.4265936,-1.0013637,River Kennet,82
Churston,50.3961487,-3.5569587,River Dart,80
Rogerstone,51.5954576,-3.0662702,Ebbw River,80
Tilehurst,51.4716513,-1.0296647,River Thames,80
Earley,51.4410298,-0.9177114,River Loddon,78
Marsh Barton,50.7043896,-3.521486,River Exe,72
Penarth,51.4358489,-3.1746781,River Ely,70
Fishbourne,50.8391034,-0.8155144,River Lavant,68
Radyr,51.5167185,-3.249383,River Taff,68
Teignmouth,50.5481567,-3.4946798,River Teign,68
Oxford,51.7534512,-1.2699542,River Thames,68
Portchester,50.8488504,-1.125024,Portchester Lake,68
Eastbrook,51.4378361,-3.2062588,Cadoxton River,66
High Wycombe,51.6293727,-0.7445773,River Wye,66
Cwmbach,51.701481,-3.4147941,River Cynon,66
Frimley,51.311784,-0.7470853,River Blackwater,64
Hengoed,51.6469338,-3.2256551,Rhymney River,64
Devonport,50.3785212,-4.1701007,Hamoaze,64
Worcester Shrub Hill,52.1950309,-2.2093282,River Severn,64
Dockyard,50.3823684,-4.1760432,Hamoaze,64
Pontypool and New Inn,51.6973269,-3.0135499,River Lwyd,64
Worcester Foregate Street,52.1953125,-2.2207771,River Severn,64
Chichester,50.8318805,-0.781845,River Lavant,62
Pengam,51.67009,-3.2301201,Rhymney River,62
Farnborough North,51.3024039,-0.7430468,River Blackwater,62
Greenway Halt,50.3863638,-3.5730892,River Dart,62
St James' Park,50.7309668,-3.5225718,River Exe,60
Fernhill,51.6866141,-3.3958825,River Cynon,60
Farnborough (Main),51.2968188,-0.7555158,River Blackwater,60
Plymouth,50.3780967,-4.1433925,Cattewater,60
Keyham,50.3899651,-4.1798923,Hamoaze,60
Bridgend,51.5071098,-3.5752586,Ewenny River,60
Exeter St Thomas,50.717201,-3.5388213,River Exe,60
Exeter St Davids,50.7292155,-3.5435703,River Exe,58
Exeter Central,50.7269097,-3.5322829,River Exe,58
Briton Ferry,51.6381644,-3.8199507,River Neath,58
Gilfach Fargoed,51.6841393,-3.2274233,Rhymney River,58
Digby and Sowton,50.7141806,-3.473603,River Clyst,58
Aylesbury,51.8134286,-0.8143149,River Thame,58
Blackwater,51.3315657,-0.776776,River Blackwater,58
Camberley,51.3363364,-0.7438865,River Blackwater,56
Dawlish Warren,50.5986475,-3.4437159,River Exe,56
Bosham,50.8428556,-0.8471677,Bosham Channel,56
Weston-super-Mare,51.344496,-2.9718305,Uphill Great Rhyne,54
Swindon,51.5656526,-1.7858762,River Ray,54
Frimley Lodge,51.2960277,-0.7216202,River Blackwater,54
Weston Milton,51.348402,-2.9428878,Cross Rhyne,54
Penzance,50.1224396,-5.5320276,Lariggan River,54
Lympstone Village,50.6484198,-3.4310966,River Exe,54
Troed-y-rhiw,51.7120426,-3.3463983,River Taff,52
Quakers Yard,51.6603466,-3.3228105,River Taff,52
Sarn,51.5385274,-3.5895171,Ogmore River,52
Newcourt,50.7027216,-3.4725586,River Clyst,52
St Budeaux Ferry Road,50.4015816,-4.1871029,River Tamar,52
Emsworth,50.8516544,-0.9385075,River Ems,50
Cwmbran,51.6570903,-3.0159856,River Lwyd,50
St Budeaux Victoria Road,50.402196,-4.1877512,River Tamar,50
Gloucester,51.8655109,-2.2382438,River Severn,50
Ystrad Mynach,51.6405449,-3.2418174,Rhymney River,50
Warblington,50.8535025,-0.9671209,Sweare Deep,50
Taffs Well,51.5407887,-3.2634336,River Taff,48
Bynea,51.6722799,-4.0987158,River Loughor,48
Dawlish,50.5806101,-3.4644482,Dawlish Water,48
Wolverton,52.065978,-0.8047602,Loughton Brook,48
Pentre-bach,51.7248294,-3.3623399,River Taff,48
Havant,50.8544413,-0.9815624,Brockhampton Stream,48
Exmouth,50.6215885,-3.4149723,River Exe,46
Bedhampton,50.8539846,-0.9962717,Brockhampton Stream,46
Treforest Estate,51.5681608,-3.2902376,River Taff,46
Newton Abbot,50.5301513,-3.5992265,River Lemon,46
Nutbourne,50.8461502,-0.8839188,Ham Brook,46
Neath,51.6621839,-3.8070189,River Neath,46
Wootton,50.718146,-1.2405289,Wotton Creek,44
Aylesbury Vale Parkway,51.8312778,-0.859831,River Thame,44
Mountain Ash,51.6817619,-3.376667,River Cynon,44
Bargoed,51.6929046,-3.2300431,Rhymney River,44
Penrhiwceiber,51.6699873,-3.3597793,River Cynon,44
Miniature Train,52.0480742,-0.7222357,River Ouzel,44
Starcross,50.6275884,-3.4476371,River Exe,44
Risca and Pontymister,51.6058043,-3.0920412,Ebbw River,44
Abercynon,51.6430833,-3.3296312,River Taff,42
Pontypridd,51.5992956,-3.3418374,River Taff,42
Aldershot,51.2462832,-0.7599088,River Blackwater,42
Skewen,51.6614691,-3.8467749,River Clydach,42
Port Talbot Parkway,51.5924394,-3.7817162,River Afan,42
Windsor and Eton Riverside,51.4866279,-0.6053949,Lock Cut,42
Basingstoke,51.2684238,-1.0885594,River Loddon,42
Southbourne,50.8481981,-0.9071791,Ham Brook,42
Llansamlet,51.6615072,-3.8854619,Nant y Fendrod,42
Newbridge,51.6653896,-3.1431855,Ebbw River,42
Farnham,51.2118094,-0.7924218,River Wey,42
Trefforest,51.5918935,-3.3249855,River Taff,40
Pinhoe,50.7377934,-3.4700849,River Clyst,40
Fareham,50.8534057,-1.1923427,Fareham Lake,40
North Camp,51.2753951,-0.7307328,River Blackwater,40
Aberdare,51.7145226,-3.4418333,River Cynon,40
Falmouth Docks,50.1507822,-5.0557922,River Fal,40
Tenby,51.6729708,-4.7067395,River Ritec,40
Andover,51.211559,-1.4927767,River Anton,40
Merthyr Vale,51.6869084,-3.3371036,River Taff,40
Windsor and Eton Central,51.4832744,-0.6105638,River Thames,38
Winnersh,51.4307527,-0.8779199,River Loddon,38
Llangennech,51.6913467,-4.07874,River Morlais,38
Pyle,51.5253321,-3.6976297,Afon Kenfig,38
Garth (Bridgend),51.5966785,-3.6426832,River Llynfi,38
Gowerton,51.6489264,-4.0356664,River Llan,38
Tondu,51.5474663,-3.5951442,River Llynfi,38
Taw Valley Halt,51.5925125,-1.8291313,River Ray,38
Maesteg,51.609681,-3.6549668,River Llynfi,38
Chepstow,51.6399688,-2.6710867,River Wye,38
Dinas Powys,51.4312712,-3.219067,Cadoxton River,38
