waitrose_name,nearest_river,pub_name,pub_lat,pub_lon
Abergavenny,River Usk,Brewers Fayre,51.8139795,-3.0259318
Abergavenny,River Usk,Kings Arms Hotel,51.8215994,-3.0202929
Abergavenny,River Usk,Hen & Chickens,51.8219001,-3.0189818
Abingdon,River Thames,Crown & Thistle,51.6696766,-1.2802156
Abingdon,River Thames,The Black Swan,51.6710023,-1.2832623
Abingdon,River Thames,The Punchbowl,51.6698739,-1.281581
Alcester,River Arrow,The Holly Bush,52.2158625,-1.8687489
Alcester,River Arrow,The Turks Head,52.2149291,-1.8695862
Alcester,River Arrow,The Bear Hotel,52.2143793,-1.8700836
Alton,River Wey,The Swan,51.1487517,-0.9754014
Amersham,River Chess,The Crown,51.6662827,-0.6166896
Amersham,River Chess,The Elephant and Castle,51.6671771,-0.6192494
Amersham,River Chess,The Saracens Head,51.6650826,-0.6169572
Andover,River Anton,The Globe,51.2074869,-1.479556
Andover,River Anton,The John Russell Fox,51.2068696,-1.4790216
Andover,River Anton,Lardi Cake,51.2086043,-1.4759449
Aylesbury,River Thame,The White Hart,51.8153916,-0.8098354
Aylesbury,River Thame,The Harrow,51.8172065,-0.8124781
Aylesbury,River Thame,The Millwrights,51.8132975,-0.8032214
Banbury,River Cherwell,Tap Social,52.063778,-1.3344038
Banbury,River Cherwell,Cock Horse,52.0488125,-1.3275561
Banbury,River Cherwell,Plough Inn,52.09403,-1.3358669
Basingstoke,River Loddon,Basingstoke Railway Social Club,51.2691876,-1.0877246
Basingstoke,River Loddon,BrewDog,51.2651426,-1.0849505
Basingstoke,River Loddon,Laarsons,51.2630819,-1.0867009
Bath,River Avon,The Sports Bar,51.3780319,-2.3567126
Bath,River Avon,The Plug,51.3796326,-2.3268124
Beaconsfield,River Wye,Royal Saracens Head,51.6015841,-0.6363037
Beaconsfield,River Wye,The Swan,51.6020639,-0.6333923
Beaconsfield,River Wye,The White Horse,51.6020786,-0.632804
Caldicot,River Severn,The Cross Inn,51.591789,-2.7509722
Caldicot,River Severn,Coach & Horses Inn,51.6106547,-2.7653568
Cardiff - Queen Street,River Taff,Rummer Tavern,51.4813737,-3.1792455
Cardiff - Queen Street,River Taff,Temple Bar,51.4808874,-3.1801417
Cardiff - Queen Street,River Taff,Little O'Neill's,51.4803954,-3.1783107
Caversham,River Thames,The Clifton Arms,51.4672597,-0.9718187
Caversham,River Thames,The Crown,51.466619,-0.976671
Caversham,River Thames,The Griffin,51.4673426,-0.9773279
Chandlers Ford,Monk's Brook,Steel Tank Ale House,50.9829583,-1.382453
Chandlers Ford,Monk's Brook,The Hiltonbury Farmhouse,50.9954677,-1.3941591
Chandlers Ford,Monk's Brook,Good Companions,50.9697089,-1.3593186
Cheltenham,River Chelt,King's Arms,51.9013438,-2.0921823
Cheltenham,River Chelt,The Bank House,51.9009089,-2.0759534
Cheltenham,River Chelt,The Good Times House Private Members Club,51.8975307,-2.0769571
Chesham,River Chess,The Generals Arms,51.7065009,-0.6117938
Chesham,River Chess,The Tavern,51.7064808,-0.6122525
Chesham,River Chess,George and Dragon,51.7045363,-0.6131708
Chichester,River Lavant,The Foundry,50.832253,-0.780957
Chichester,River Lavant,The Richmond,50.8306485,-0.7821578
Chichester,River Lavant,The Vestry,50.8336468,-0.7801549
Chippenham,River Avon,The Bridge House,51.4584195,-2.1177948
Chippenham,River Avon,The Four Seasons,51.4580395,-2.1147892
