station_name,station_lat,station_lon,nearest_river,pub_name,pub_lat,pub_lon,distance_to_pub_m
Abbey Road,51.5325414,0.0036092,Channelsea River,The Abbey Tap,51.5402372,0.0002018,888.2648101
Abbey Road,51.5325414,0.0036092,Channelsea River,The Abbey Tap,51.5402372,0.0002018,888.2648101
Abbey Road,51.5325414,0.0036092,Channelsea River,The Sportsman,51.5424567,0.0028343,1104.47130417
Abbey Road,51.5325414,0.0036092,Channelsea River,The Sportsman,51.5424567,0.0028343,1104.47130417
Abbey Road,51.5325414,0.0036092,Channelsea River,012 Bar & Grill Restaurant,51.542752,0.0032106,1136.3531616
Aber,51.5748662,-3.2298096,Nant yr Aber,The Station Inn,51.5756937,-3.2312967,138.22038079
Aber,51.5748662,-3.2298096,Nant yr Aber,The Station Inn,51.5756937,-3.2312967,138.22038079
Aber,51.5748662,-3.2298096,Nant yr Aber,Brew Monster,51.5751567,-3.2165734,918.18796332
Aber,51.5748662,-3.2298096,Nant yr Aber,Brew Monster,51.5751567,-3.2165734,918.18796332
Aber,51.5748662,-3.2298096,Nant yr Aber,Y Barcud Goch,51.5712243,-3.2441488,1073.53400277
Abercynon,51.6430833,-3.3296312,River Taff,The Carne Park Hotel,51.6406152,-3.3332884,373.49795968
Abercynon,51.6430833,-3.3296312,River Taff,The Carne Park Hotel,51.6406152,-3.3332884,373.49795968
Abercynon,51.6430833,-3.3296312,River Taff,The Navigation,51.6446707,-3.3244645,398.87918092
Abercynon,51.6430833,-3.3296312,River Taff,The Navigation,51.6446707,-3.3244645,398.87918092
Abercynon,51.6430833,-3.3296312,River Taff,Thorn Hotel,51.6485984,-3.3299392,613.98366132
Aberdare,51.7145226,-3.4418333,River Cynon,Pickled Pepper,51.7136402,-3.4436601,159.9377647
Aberdare,51.7145226,-3.4418333,River Cynon,Pickled Pepper,51.7136402,-3.4436601,159.9377647
Aberdare,51.7145226,-3.4418333,River Cynon,Prince of Wales,51.7133609,-3.4441781,207.29200725
Aberdare,51.7145226,-3.4418333,River Cynon,Prince of Wales,51.7133609,-3.4441781,207.29200725
Aberdare,51.7145226,-3.4418333,River Cynon,The Glosters Arms,51.7142497,-3.4454363,250.86287053
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,Coach & Horses,51.8206768,-3.0164611,627.59729936
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,Coach & Horses,51.8206768,-3.0164611,627.59729936
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,The Angel,51.821223,-3.0175065,721.55988813
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,The Angel,51.821223,-3.0175065,721.55988813
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,Kings Head Hotel,51.821778,-3.0178427,777.30298644
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,New King George,51.8592499,-4.3008779,1739.5526239
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,New King George,51.8592499,-4.3008779,1739.5526239
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,Castle Hotel,51.8587492,-4.3015235,1808.70208973
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,Castle Hotel,51.8587492,-4.3015235,1808.70208973
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,Cwrw,51.8578774,-4.3037708,1990.63003963
Acton Town,51.5027051,-0.2799643,River Thames,The Red Lion & Pineapple,51.5081822,-0.2764777,655.69562281
Acton Town,51.5027051,-0.2799643,River Thames,The Red Lion & Pineapple,51.5081822,-0.2764777,655.69562281
