station_name,station_lat,station_lon,nearest_river,pub_name,pub_lat,pub_lon,distance_to_pub_m
Abbey Road,51.5325414,0.0036092,Channelsea River,The Abbey Tap,51.5402372,0.0002018,888.2648101
Abbey Road,51.5325414,0.0036092,Channelsea River,The Abbey Tap,51.5402372,0.0002018,888.2648101
Abbey Road,51.5325414,0.0036092,Channelsea River,The Sportsman,51.5424567,0.0028343,1104.47130417
Abbey Road,51.5325414,0.0036092,Channelsea River,The Sportsman,51.5424567,0.0028343,1104.47130417
Abbey Road,51.5325414,0.0036092,Channelsea River,012 Bar & Grill Restaurant,51.542752,0.0032106,1136.3531616
Aldgate,51.5142477,-0.0757186,River Thames,Hoop and Grapes,51.5142543,-0.0742015,105.31790862
Aldgate,51.5142477,-0.0757186,River Thames,Hoop and Grapes,51.5142543,-0.0742015,105.31790862
Aldgate,51.5142477,-0.0757186,River Thames,Duke of Somerset,51.513604,-0.0737842,152.18862457
Aldgate,51.5142477,-0.0757186,River Thames,Duke of Somerset,51.513604,-0.0737842,152.18862457
Aldgate,51.5142477,-0.0757186,River Thames,City Bar & Kitchen,51.5152081,-0.0774089,158.69938354
Aldgate East,51.5156185,-0.070839,River Thames,The Castle,51.5148862,-0.0687963,163.53887226
Aldgate East,51.5156185,-0.070839,River Thames,The Castle,51.5148862,-0.0687963,163.53887226
Aldgate East,51.5156185,-0.070839,River Thames,The Buxton,51.5172501,-0.0702726,185.73778852
Aldgate East,51.5156185,-0.070839,River Thames,The Buxton,51.5172501,-0.0702726,185.73778852
Aldgate East,51.5156185,-0.070839,River Thames,Black Horse,51.5137054,-0.0707311,212.97964834
All Saints,51.5108398,-0.0130551,Bow Creek,The Manor Arms,51.5107112,-0.0191418,422.8060708
All Saints,51.5108398,-0.0130551,Bow Creek,The Manor Arms,51.5107112,-0.0191418,422.8060708
All Saints,51.5108398,-0.0130551,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,614.27571792
All Saints,51.5108398,-0.0130551,Bow Creek,The Tommy Flowers,51.513588,-0.0053807,614.27571792
All Saints,51.5108398,-0.0130551,Bow Creek,Sports Bar & Grill,51.5062159,-0.0185144,638.99540858
Anerley,51.4125891,-0.0655796,Pool River,BR3WERY Craft Brewing Co.,51.4099147,-0.0456995,1414.80549049
Anerley,51.4125891,-0.0655796,Pool River,BR3WERY Craft Brewing Co.,51.4099147,-0.0456995,1414.80549049
Anerley,51.4125891,-0.0655796,Pool River,Kent House Tavern,51.4164144,-0.045372,1468.85675091
Anerley,51.4125891,-0.0655796,Pool River,Kent House Tavern,51.4164144,-0.045372,1468.85675091
Anerley,51.4125891,-0.0655796,Pool River,The Pavillion,51.4267585,-0.0549107,1742.39554524
Angel,51.5324874,-0.1060356,River Fleet,The Islington,51.5337144,-0.1069716,151.17708777
Angel,51.5324874,-0.1060356,River Fleet,The Islington,51.5337144,-0.1069716,151.17708777
Angel,51.5324874,-0.1060356,River Fleet,The Angelic,51.5347892,-0.1072883,270.44467353
Angel,51.5324874,-0.1060356,River Fleet,The Angelic,51.5347892,-0.1072883,270.44467353
Angel,51.5324874,-0.1060356,River Fleet,Pearl and Feather,51.5298098,-0.1048949,308.24263776
Bank,51.5131048,-0.0893749,River Thames,Forge,51.5132004,-0.0871776,152.90810169
Bank,51.5131048,-0.0893749,River Thames,Forge,51.5132004,-0.0871776,152.90810169
Bank,51.5131048,-0.0893749,River Thames,The Cannick Tapps,51.5116546,-0.0897347,163.26841319
Bank,51.5131048,-0.0893749,River Thames,The Cannick Tapps,51.5116546,-0.0897347,163.26841319
